t	Ecin	Epot	Rg	buf4	buf5
40121.000000	0.500289	0.510476	0.798265	0.658548	-0.002200
40122.000000	0.500285	0.510471	0.798261	0.658542	-0.002199
40123.000000	0.500282	0.510465	0.798261	0.658540	-0.002189
40124.000000	0.500281	0.510462	0.798267	0.658552	-0.002177
40125.000000	0.500279	0.510456	0.798270	0.658557	-0.002166
40126.000000	0.500276	0.510451	0.798272	0.658560	-0.002155
40127.000000	0.500273	0.510444	0.798273	0.658560	-0.002159
40128.000000	0.500269	0.510438	0.798277	0.658568	-0.002174
40129.000000	0.500270	0.510434	0.798281	0.658573	-0.002191
40130.000000	0.500274	0.510441	0.798283	0.658577	-0.002183
40131.000000	0.500274	0.510440	0.798288	0.658586	-0.002162
40132.000000	0.500274	0.510439	0.798291	0.658590	-0.002149
40133.000000	0.500271	0.510436	0.798289	0.658586	-0.002142
40134.000000	0.500273	0.510442	0.798286	0.658582	-0.002141
40135.000000	0.500278	0.510449	0.798286	0.658582	-0.002152
40136.000000	0.500282	0.510465	0.798287	0.658583	-0.002153
40137.000000	0.500278	0.510468	0.798282	0.658575	-0.002155
40138.000000	0.500273	0.510467	0.798276	0.658566	-0.002158
40139.000000	0.500278	0.510476	0.798271	0.658559	-0.002162
40140.000000	0.500281	0.510476	0.798268	0.658554	-0.002167
40141.000000	0.500281	0.510479	0.798266	0.658551	-0.002167
40142.000000	0.500287	0.510490	0.798265	0.658549	-0.002164
40143.000000	0.500289	0.510495	0.798265	0.658547	-0.002157
40144.000000	0.500291	0.510497	0.798263	0.658544	-0.002147
40145.000000	0.500295	0.510499	0.798258	0.658538	-0.002155
40146.000000	0.500294	0.510500	0.798257	0.658535	-0.002157
40147.000000	0.500296	0.510504	0.798260	0.658541	-0.002166
40148.000000	0.500298	0.510510	0.798265	0.658548	-0.002184
40149.000000	0.500293	0.510504	0.798269	0.658555	-0.002198
40150.000000	0.500289	0.510503	0.798273	0.658562	-0.002207
40151.000000	0.500290	0.510499	0.798273	0.658561	-0.002214
40152.000000	0.500296	0.510491	0.798270	0.658557	-0.002215
40153.000000	0.500296	0.510488	0.798271	0.658557	-0.002212
40154.000000	0.500297	0.510485	0.798273	0.658560	-0.002200
40155.000000	0.500304	0.510492	0.798273	0.658560	-0.002196
40156.000000	0.500303	0.510494	0.798271	0.658557	-0.002195
40157.000000	0.500301	0.510495	0.798272	0.658557	-0.002191
40158.000000	0.500299	0.510497	0.798267	0.658550	-0.002194
40159.000000	0.500299	0.510495	0.798263	0.658544	-0.002192
40160.000000	0.500302	0.510497	0.798263	0.658544	-0.002194
40161.000000	0.500308	0.510497	0.798266	0.658549	-0.002188
40162.000000	0.500313	0.510490	0.798264	0.658545	-0.002190
40163.000000	0.500308	0.510484	0.798264	0.658545	-0.002196
40164.000000	0.500304	0.510479	0.798265	0.658546	-0.002201
40165.000000	0.500303	0.510484	0.798259	0.658538	-0.002205
40166.000000	0.500300	0.510489	0.798257	0.658534	-0.002208
40167.000000	0.500299	0.510490	0.798263	0.658544	-0.002205
40168.000000	0.500296	0.510490	0.798268	0.658552	-0.002200
40169.000000	0.500292	0.510489	0.798274	0.658563	-0.002191
40170.000000	0.500290	0.510482	0.798279	0.658572	-0.002174
40171.000000	0.500294	0.510482	0.798282	0.658577	-0.002158
40172.000000	0.500298	0.510483	0.798280	0.658573	-0.002156
40173.000000	0.500301	0.510484	0.798277	0.658568	-0.002164
40174.000000	0.500309	0.510494	0.798282	0.658577	-0.002175
40175.000000	0.500314	0.510496	0.798280	0.658575	-0.002174
40176.000000	0.500316	0.510507	0.798284	0.658581	-0.002168
40177.000000	0.500330	0.510506	0.798282	0.658577	-0.002176
40178.000000	0.500335	0.510502	0.798283	0.658579	-0.002182
40179.000000	0.500338	0.510496	0.798284	0.658580	-0.002185
40180.000000	0.500346	0.510497	0.798291	0.658594	-0.002183
40181.000000	0.500356	0.510508	0.798298	0.658606	-0.002181
40182.000000	0.500356	0.510508	0.798298	0.658606	-0.002177
40183.000000	0.500354	0.510521	0.798293	0.658599	-0.002171
40184.000000	0.500361	0.510545	0.798290	0.658594	-0.002166
40185.000000	0.500362	0.510549	0.798292	0.658597	-0.002172
40186.000000	0.500358	0.510546	0.798293	0.658598	-0.002179
40187.000000	0.500350	0.510540	0.798295	0.658600	-0.002188
40188.000000	0.500345	0.510531	0.798297	0.658603	-0.002201
